name,id,release_date,total_tracks,link,img,band_spotify_id,band_spotify_name,band_spotify_popularity,band_spotify_link
The Sound a Body Makes When It's Still,0HMgzw7KIZ7gnmkfeOxCs6,2025-08-22,16,https://open.spotify.com/album/0HMgzw7KIZ7gnmkfeOxCs6,https://i.scdn.co/image/ab67616d0000b273e332a90d4553e03bed2c8ba2,1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,67,https://api.spotify.com/v1/artists/1lKZzN2d4IqiEYxyECIEHI
Why Would I Watch,0wLCmFQIAxudWGxUcxO1oQ,2023-05-12,12,https://open.spotify.com/album/0wLCmFQIAxudWGxUcxO1oQ,https://i.scdn.co/image/ab67616d0000b273fc0e96d2d902ced36ea3256d,1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,67,https://api.spotify.com/v1/artists/1lKZzN2d4IqiEYxyECIEHI
you'll be fine,5MutKcn3J1xzbBKOzr1oGI,2020-03-06,11,https://open.spotify.com/album/5MutKcn3J1xzbBKOzr1oGI,https://i.scdn.co/image/ab67616d0000b273fec2691d20750b512ba92483,1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,67,https://api.spotify.com/v1/artists/1lKZzN2d4IqiEYxyECIEHI
Pilot,4LR74198fNxGkLyzinQwJz,2018-03-23,11,https://open.spotify.com/album/4LR74198fNxGkLyzinQwJz,https://i.scdn.co/image/ab67616d0000b273597e821e98e1e6c7e8b609b4,1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,67,https://api.spotify.com/v1/artists/1lKZzN2d4IqiEYxyECIEHI
Opportunities,5WDg2HWBwm6W0jttEW2jXG,2016-12-16,7,https://open.spotify.com/album/5WDg2HWBwm6W0jttEW2jXG,https://i.scdn.co/image/ab67616d0000b273268a1d912b38b139f93a9af3,1lKZzN2d4IqiEYxyECIEHI,Hot Mulligan,67,https://api.spotify.com/v1/artists/1lKZzN2d4IqiEYxyECIEHI
Neck Deep (Dumbfuck Edition),3xBppdCksi42RQpNGaCnCa,2025-09-12,14,https://open.spotify.com/album/3xBppdCksi42RQpNGaCnCa,https://i.scdn.co/image/ab67616d0000b27339f098db4195af484ae9a6e4,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,68,https://api.spotify.com/v1/artists/2TM0qnbJH4QPhGMCdPt7fH
Neck Deep,5dJ7QsXRqsX5oErJatoERd,2024-01-19,10,https://open.spotify.com/album/5dJ7QsXRqsX5oErJatoERd,https://i.scdn.co/image/ab67616d0000b2738e7972696ca28546d833a842,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,68,https://api.spotify.com/v1/artists/2TM0qnbJH4QPhGMCdPt7fH
All Distortions Are Intentional,3fM2J0ilTBGwnzcN3SqUcG,2020-07-24,12,https://open.spotify.com/album/3fM2J0ilTBGwnzcN3SqUcG,https://i.scdn.co/image/ab67616d0000b2733a278953d20b499818ed7dae,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,68,https://api.spotify.com/v1/artists/2TM0qnbJH4QPhGMCdPt7fH
The Peace And The Panic,76NbbdvTc4yP50p5m4u9H3,2017-08-18,11,https://open.spotify.com/album/76NbbdvTc4yP50p5m4u9H3,https://i.scdn.co/image/ab67616d0000b273012600ed0113720188be4dd5,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,68,https://api.spotify.com/v1/artists/2TM0qnbJH4QPhGMCdPt7fH
Life's Not Out To Get You,3umOBqXWR9VnJTQoe9Qkkj,2015-08-14,12,https://open.spotify.com/album/3umOBqXWR9VnJTQoe9Qkkj,https://i.scdn.co/image/ab67616d0000b27382a3560435840c14a72f6b6e,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,68,https://api.spotify.com/v1/artists/2TM0qnbJH4QPhGMCdPt7fH
Rain In July / A History Of Bad Decisions,13xBAYqsGgjXnoawJEMkr8,2014-06-10,10,https://open.spotify.com/album/13xBAYqsGgjXnoawJEMkr8,https://i.scdn.co/image/ab67616d0000b2732716ca9fe9448d15a6503ef5,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,68,https://api.spotify.com/v1/artists/2TM0qnbJH4QPhGMCdPt7fH
Wishful Thinking,7GZW60VRzrKiVNZDmzZiz1,2014-01-14,12,https://open.spotify.com/album/7GZW60VRzrKiVNZDmzZiz1,https://i.scdn.co/image/ab67616d0000b27304f73ec3f682f28acb9c264a,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,68,https://api.spotify.com/v1/artists/2TM0qnbJH4QPhGMCdPt7fH
Rain In July,13C2WGkljqaE62wJjsvENT,2012-09-11,7,https://open.spotify.com/album/13C2WGkljqaE62wJjsvENT,https://i.scdn.co/image/ab67616d0000b2732ac4a1fa3633712e4e5affe2,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,68,https://api.spotify.com/v1/artists/2TM0qnbJH4QPhGMCdPt7fH
Truth Decay,1InYWNQZhu7U98emMWUdgW,2023-02-10,13,https://open.spotify.com/album/1InYWNQZhu7U98emMWUdgW,https://i.scdn.co/image/ab67616d0000b273aa72d2973fbfb12d7bf32edb,1kNQXvepPjaPgUfeDAF2h6,You Me At Six,57,https://api.spotify.com/v1/artists/1kNQXvepPjaPgUfeDAF2h6
