name,id,release_date,total_tracks,link,img,band_spotify_id,band_spotify_name,band_spotify_popularity,band_spotify_link,band_genre,genres
"The Forever Sessions, Vol. 1",0LaTBby8LOHvfh6rVuHEri,2024-08-23,9,https://open.spotify.com/album/0LaTBby8LOHvfh6rVuHEri,https://i.scdn.co/image/ab67616d0000b273c593171e97792ed4e374e6d9,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Tell Me I'm Alive,0gPGmJSxuqrpvXiWdOLcRh,2023-03-17,13,https://open.spotify.com/album/0gPGmJSxuqrpvXiWdOLcRh,https://i.scdn.co/image/ab67616d0000b27351c5a0490ea847ecb7b8b164,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
"Wake Up, Sunshine",1kwAv74rVTTGMpawGsXtiE,2020-04-03,15,https://open.spotify.com/album/1kwAv74rVTTGMpawGsXtiE,https://i.scdn.co/image/ab67616d0000b27328c24b54e9149cab239ac1cd,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
It's Still Nothing Personal: A Ten Year Tribute (Live In The Studio),6EV4w18ekpHnIZnK4i8NUX,2019-11-08,12,https://open.spotify.com/album/6EV4w18ekpHnIZnK4i8NUX,https://i.scdn.co/image/ab67616d0000b2735ca2efae3bbbc594c29bd7c5,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Last Young Renegade,0gpNGTVNivS2wB32tzV3OH,2017-06-02,10,https://open.spotify.com/album/0gpNGTVNivS2wB32tzV3OH,https://i.scdn.co/image/ab67616d0000b273634ebb5b4796e92c00da986f,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
"Straight To DVD II: Past, Present, and Future Hearts",22CfEF0DGyhPf0IiH352Qm,2016-09-09,21,https://open.spotify.com/album/22CfEF0DGyhPf0IiH352Qm,https://i.scdn.co/image/ab67616d0000b27373f0f764e211377ebb163425,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Future Hearts,712X8QUI6uWg1JxHmz0l4I,2015-04-07,13,https://open.spotify.com/album/712X8QUI6uWg1JxHmz0l4I,https://i.scdn.co/image/ab67616d0000b273bccd6097f2df7d61d12b1e56,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Don't Panic: It's Longer Now!,7b3JowMC8FK0nToMlD4H1d,2013-09-30,20,https://open.spotify.com/album/7b3JowMC8FK0nToMlD4H1d,https://i.scdn.co/image/ab67616d0000b273754c9ec4b5330223baa55db1,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Don't Panic,78ZshSpqcIXyrYBJGgiPK0,2012-10-09,12,https://open.spotify.com/album/78ZshSpqcIXyrYBJGgiPK0,https://i.scdn.co/image/ab67616d0000b273662abf7dde1332e19c2634da,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Dirty Work,4LShkr6gPRWh5v0VUVNW0q,2011-01-01,16,https://open.spotify.com/album/4LShkr6gPRWh5v0VUVNW0q,https://i.scdn.co/image/ab67616d0000b2732eb245e5c044424a2975e7e1,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Straight To DVD,3LFeC7apkmNsQSEnRVYUPa,2010-05-25,15,https://open.spotify.com/album/3LFeC7apkmNsQSEnRVYUPa,https://i.scdn.co/image/ab67616d0000b2731320f8593a9d196e54612364,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
Nothing Personal (Deluxe Version),7tY7NcC2gKTxXsTJM6zK5I,2009-07-07,14,https://open.spotify.com/album/7tY7NcC2gKTxXsTJM6zK5I,https://i.scdn.co/image/ab67616d0000b27324889965c2b453cbd439a7f6,46gyXjRIvN1NL1eCB8GBxo,All Time Low,73,https://api.spotify.com/v1/artists/46gyXjRIvN1NL1eCB8GBxo,pop punk,"['pop punk', 'powerpop', 'rock', 'punk', 'emo']"
